speed,delay,action,angle1,angle2,angle3,angle4,angle5,angle6
0.5,0,FALSE,0,0,0,0,0,0
0.5,0,TRUE,96,51,73,0,48,0
0.5,1,TRUE,96,51,73,0,48,0
0.5,0,TRUE,96,0,82,0,0,0
0.5,0,TRUE,27,0,90,93,72,58
0.5,0,TRUE,27,12,90,93,72,58
0.5,0,TRUE,20,-2,110,2,60,70
0.5,0,TRUE,-38,12,92,2,60,0
0.5,1,FALSE,-38,12,92,2,60,0
0.5,1,FALSE,0,0,0,0,0,0
