speed,delay,action,angle1,angle2,angle3,angle4,angle5,angle6
5,1,True,0,0,0,0,0,0
5,1,True,317,38,0,0,0,0
5,1,True,317,38,43,0,0,0
5,1,True,317,38,43,320,0,0
5,1,True,0,0,0,0,0,0
